db_id;question_pt;question_en;query;tipo;dificuldade
despesas_consolidada;Liste os valores pagos por cada combinação de órgão e ação.;List payments for each agency-action combination.;SELECT orgao, acao, SUM(vl_pago_orcamentario) FROM despesas_consolidadas GROUP BY orgao, acao;agrupamento;médio
despesas_consolidada;Qual foi o valor liquidado por mês para a ação "Gestão das atividades aéreas"?;What was the settled value per month for the action "Gestão das atividades aéreas"?;SELECT mes, SUM(vl_liquidado) FROM despesas_consolidadas WHERE acao like '%Gestão das atividades aéreas%' GROUP BY mes;agrupamento;médio
despesas_consolidada;Quais órgãos tiveram despesas em mais de 3 meses diferentes?;Which agencies had expenses in more than 3 different months?;SELECT orgao FROM despesas_consolidadas GROUP BY orgao HAVING COUNT(DISTINCT mes) > 3;agrupamento;difícil
despesas_consolidada;Qual o valor orçado por mes ?;What is the budgeted amount per month?;SELECT mes, SUM(vl_dotacao_inicial) FROM despesas_consolidadas GROUP BY mes;agrupamento;médio
despesas_consolidada;Quantas despesas foram empenhadas em abril de 2025?;How many expenses were committed in April 2025?;SELECT COUNT(*) FROM despesas_consolidadas WHERE mes like '%Abril%' AND ano = '2025' AND vl_empenhado > 0;filtro;médio
despesas_consolidada;Qual a quantidade de despesas foram empenhadas em abril de 2025?;How many expenses were committed in April 2025?;SELECT COUNT(*) FROM despesas_consolidadas WHERE mes like '%Abril%' AND ano = '2025' AND vl_empenhado > 0;filtro;médio
despesas_consolidada;Liste despesas com valor pago superior a 1000;List expenses with paid value greater than 1000;SELECT * FROM despesas_consolidadas WHERE vl_pago_orcamentario > 1000;filtro;fácil
despesas_consolidada;Quais são os registros com valor liquidado entre 100 e 1000?;What are the records with settled value between 100 and 1000?;SELECT * FROM despesas_consolidadas WHERE vl_liquidado BETWEEN 100 AND 1000;filtro;fácil
despesas_consolidada;Quais despesas têm dotação inicial igual a zero?;Which expenses have zero initial allocation?;SELECT * FROM despesas_consolidadas WHERE vl_dotacao_inicial = 0;filtro;fácil
despesas_consolidada;Quais são os registros de 2025 para a unidade gestora 160085?;What are the 2025 records for managing unit 160085?;SELECT * FROM despesas_consolidadas WHERE ano = '2025' AND cod_ug = '160085';filtro;médio
despesas_consolidada;Qual é a média do valor pago em Abril de 2025?;What is the average amount paid in April 2025?;SELECT AVG(vl_pago_orcamentario) FROM despesas_consolidadas WHERE mes like '%Abril%' AND ano = '2025';filtro;médio
despesas_consolidada;Quais ações têm valor liquidado acima de 50000000?;Which actions have settled value above 50000000?;SELECT DISTINCT acao FROM despesas_consolidadas WHERE vl_liquidado > 50000000;filtro;médio
despesas_consolidada;Selecione todos os registros do segundo(2) trimestre de 2025.;Select all records from the 2nd quarter of 2025.;SELECT * FROM despesas_consolidadas WHERE nro_trimestre = '2' AND ano = '2025';filtro;médio
